,0,1,2,3,4,5,6
NEXAM.ST,254.34291,251.48372,253.5747,251.23953,253.68391,251.54323,250.95024
OPUS.ST,1.2091918,0.3934257,0.9984486,0.32472277,1.0267327,0.4129898,0.24504362
ORGC.ST,-4.5829997,-5.351868,-4.7779636,-5.41609,-4.7525043,-5.332065,-5.4897113
OV.ST,700.7304,694.2666,699.0064,693.7203,699.2521,694.41327,693.0775
OVZON.ST,-24.5792,-25.200834,-24.742725,-25.251726,-24.724203,-25.182934,-25.305607
PCELL.ST,2.1011388,1.2683393,1.867366,1.1965923,1.899649,1.2838807,1.1129254
PFE.ST,-22.395369,-23.021149,-22.517881,-23.06751,-22.50947,-22.990522,-23.111364
PLAZ-B.ST,-27.884268,-28.465677,-28.023533,-28.512869,-28.007105,-28.44736,-28.5648
PREV-B.ST,181.84045,179.44525,181.11029,179.30092,181.2631,179.60773,179.16049
PROF-B.ST,21.464502,20.485653,21.226534,20.405588,21.255484,20.514992,20.316381
RAKE.ST,154.86429,152.76382,154.28702,152.58784,154.35796,152.81439,152.39484
RECI-B.ST,-20.725912,-21.364956,-20.875296,-21.416237,-20.858463,-21.343378,-21.471748
SAGA-B.ST,-27.75827,-28.341162,-27.889702,-28.387089,-27.876135,-28.319399,-28.435295
SAGA-PREF.ST,-33.513367,-34.049442,-33.6189,-34.089256,-33.611485,-34.02345,-34.127117
SAPIAB.ST,-4.8602567,-5.627187,-5.029072,-5.687061,-5.012416,-5.597164,-5.7491245
SCA-A.ST,-31.152752,-31.707678,-31.278492,-31.751577,-31.265194,-31.687374,-31.798079
SDIP-PREF.ST,-36.67416,-37.184685,-36.778038,-37.223145,-36.769787,-37.16125,-37.260696
SHB-A.ST,5.230824,4.383028,5.009668,4.31124,5.0399537,4.402447,4.2273064
SHOT.ST,-7.870043,-8.612495,-8.05054,-8.673224,-8.028582,-8.590242,-8.740888
SKF-A.ST,-4.290554,-5.0617533,-4.486765,-5.126251,-4.4609737,-5.0421267,-5.2003994
SOLNA.ST,-37.41751,-37.921993,-37.528946,-37.96144,-37.517845,-37.902378,-38.00243
STAR-A.ST,838.45575,830.81354,836.39594,830.21576,836.7241,831.0802,829.53613
STORY-B.ST,-21.588774,-22.22092,-21.742111,-22.27253,-21.723593,-22.201752,-22.329838
SVOL-A.ST,36.10601,35.008354,35.826756,34.916687,35.86316,35.03656,34.8117
SWMA.ST,-36.03305,-36.548626,-36.157974,-36.590717,-36.142883,-36.532978,-36.637466
TEQ.ST,5.934071,5.060998,5.6908755,4.9873314,5.721443,5.080705,4.9056916
TOAD.ST,-38.360806,-38.8688,-38.504635,-38.912037,-38.48606,-38.858253,-38.960564
VBG-B.ST,-16.960026,-17.629354,-17.122095,-17.683985,-17.102564,-17.609016,-17.744623
VEMF-SDB.ST,-29.058132,-29.629873,-29.199228,-29.676977,-29.18164,-29.613571,-29.729979
VIT-B.ST,-26.938467,-27.527575,-27.082941,-27.575912,-27.06518,-27.510319,-27.629955
VNV-SDB.ST,-27.265615,-27.85175,-27.403862,-27.899004,-27.387947,-27.83249,-27.95057
VOLV-A.ST,-25.389198,-25.990526,-25.528202,-26.038546,-25.512856,-25.969635,-26.09017
WIHL.ST,-29.809004,-30.374813,-29.950138,-30.42165,-29.932245,-30.359241,-30.474695
XANO-B.ST,2.8846078,2.0555189,2.680638,1.9873126,2.705967,2.0793843,1.9106771
24STOR.ST,-26.942736,-27.544823,-27.116966,-27.596685,-27.093687,-27.53383,-27.655844
AAC.ST,87.11337,85.6052,86.719604,85.477715,86.773544,85.64011,85.32883
AAK.ST,-26.248865,-26.84337,-26.384895,-26.890604,-26.37024,-26.82214,-26.940987
AEC.ST,-10.495193,-11.23294,-10.68502,-11.292647,-10.66448,-11.210016,-11.354739
ALIG.ST,-11.333077,-12.047713,-11.497224,-12.104603,-11.479334,-12.02245,-12.165485
AMAST-PREF.ST,-36.88781,-37.396725,-36.985924,-37.43418,-36.979588,-37.37121,-37.469185
ARION-SDB.ST,-16.724348,-17.41074,-16.903038,-17.466629,-16.883224,-17.390234,-17.525305
ASSA-B.ST,-27.77893,-28.360966,-27.91904,-28.408346,-27.902298,-28.342966,-28.46077
ATRLJ-B.ST,-27.654146,-28.237312,-27.794378,-28.284746,-27.7777,-28.219194,-28.337132
AVEN.ST,-13.205532,-13.905347,-13.367718,-13.961259,-13.349789,-13.881106,-14.021349
AXIC-A.ST,-8.826116,-9.565227,-8.964502,-9.618391,-8.957765,-9.525292,-9.665099
BALD-B.ST,304.44034,300.831,303.27896,300.72275,303.59537,301.28653,300.69574
BULTEN.ST,22.78231,21.792969,22.536371,21.711138,22.5675,21.82042,21.61854
CAG.ST,-10.386595,-11.125197,-10.586602,-11.186589,-10.562677,-11.106215,-11.253131
CE.ST,129624.84,128012.7,128957.29,128240.086,129314.02,128748.37,128694.44
CEVI.ST,-17.99181,-18.653214,-18.140728,-18.705328,-18.125322,-18.628513,-18.76011
CONS-B.ST,-27.099617,-27.687424,-27.244734,-27.735815,-27.226692,-27.670593,-27.790169
CORE-A.ST,-16.906971,-17.577785,-17.058008,-17.630552,-17.042559,-17.552534,-17.685707
DDM.ST,9.7709465,8.886476,9.54698,8.812653,9.5762005,8.909388,8.728074
DIST.ST,17.88231,16.93237,17.63532,16.852068,17.668829,16.954441,16.75846
ELAN-B.ST,287.55215,284.41568,286.67337,284.1455,286.80545,284.47388,283.8207
ELTEL.ST,98.68449,97.08286,98.26973,96.947914,98.32564,97.12114,96.79131
ELUX-A.ST,-12.1811075,-12.888697,-12.359273,-12.94758,-12.336237,-12.869958,-13.01482
ENEA.ST,-17.703297,-18.366814,-17.85975,-18.420265,-17.841848,-18.344913,-18.47844
FING-B.ST,771.78674,763.79266,769.14813,763.68,769.945,765.04694,763.8372
FNM.ST,-9.825007,-10.551746,-9.997363,-10.610484,-9.97733,-10.528234,-10.674794
FOI-B.ST,-14.824017,-15.510428,-14.984828,-15.565587,-14.966556,-15.4874325,-15.625494
FPAR-D.ST,-40.3963,-40.88752,-40.5386,-40.92985,-40.51956,-40.878613,-40.978195
GOMX.ST,562.1421,556.7532,560.7095,556.33295,560.93335,556.9454,555.8588
GPG-PREF.ST,-36.72954,-37.239727,-36.823788,-37.276604,-36.81879,-37.21247,-37.309883
HELIO.ST,229.36009,226.70122,228.64308,226.4737,228.74501,226.75558,226.20409
HEXA-B.ST,-28.85685,-29.430252,-28.986776,-29.475607,-28.97302,-29.40927,-29.523674
HOFI.ST,38.171566,37.05821,37.89117,36.965546,37.927414,37.087666,36.85975
HTRO.ST,-0.8114904,-1.6106647,-1.0161119,-1.6776972,-0.9889066,-1.5908158,-1.7551321
ICO.ST,-18.28874,-18.962257,-18.460958,-19.016575,-18.44256,-18.940872,-19.072777
INDEX.ST,0.094583616,-0.71239495,-0.09532253,-0.7773478,-0.073671564,-0.68561137,-0.84794354
INDT.ST,-28.078184,-28.657846,-28.219467,-28.705318,-28.202229,-28.640621,-28.758272
INFREA.ST,-28.152536,-28.744787,-28.298954,-28.79174,-28.284483,-28.723984,-28.838953
INTRUM.ST,-5.3787994,-6.1412477,-5.571599,-6.204831,-5.5465264,-6.1213756,-6.2776103
INVE-A.ST,-29.66878,-30.235624,-29.805908,-30.281883,-29.789404,-30.218359,-30.33321
IRRAS.ST,78.27681,76.839745,77.94469,76.72506,77.98131,76.88979,76.60184
JETPAK.ST,-37.11589,-37.634182,-37.255608,-37.677162,-37.239033,-37.620617,-37.72358
K2A-B.ST,-24.29306,-24.917017,-24.467148,-24.969707,-24.44521,-24.90304,-25.028173
KABE-B.ST,23.204002,22.211292,22.94946,22.127937,22.983303,22.235725,22.031597
KIND-SDB.ST,85.06581,83.57476,84.69227,83.451,84.740265,83.615036,83.31012
KLOV-PREF.ST,-34.81608,-35.34165,-34.92076,-35.380875,-34.91307,-35.316635,-35.41852
LAGR-B.ST,-24.383139,-24.99269,-24.53121,-25.042505,-24.513277,-24.974333,-25.097916
LEMSE.ST,457.73743,453.24252,456.58215,452.86505,456.73624,453.35284,452.42856
LEO.ST,155.78827,153.72728,155.2526,153.55312,155.32538,153.77525,153.35002
LOOM-B.ST,-22.068748,-22.696827,-22.218939,-22.747787,-22.201221,-22.676996,-22.80391
MAGI.ST,92.47027,90.919,92.072,90.78884,92.12507,90.957375,90.63852
MAHA-A.ST,51.75334,50.526775,51.495007,50.43341,51.5169,50.580555,50.34123
MAXF.ST,-31.656063,-32.206882,-31.787842,-32.2516,-31.772303,-32.189533,-32.300835
MCOV-B.ST,-35.889233,-36.405994,-36.01621,-36.44847,-36.000504,-36.39102,-36.496086
MMGR-B.ST,-27.795534,-28.377436,-27.933008,-28.424387,-27.917143,-28.358397,-28.475655
MSON-B.ST,159.55856,157.46486,159.00685,157.28706,159.0827,157.5114,157.07886
MTG-B.ST,458.85147,454.32098,457.5748,453.93967,457.7765,454.422,453.48245
MYCR.ST,-8.772224,-9.507463,-8.956194,-9.568445,-8.932709,-9.48749,-9.637694
NAXS.ST,-30.87426,-31.431372,-31.003525,-31.475939,-30.989136,-31.412207,-31.523983
NCC-A.ST,-4.89708,-5.6634593,-5.0954843,-5.7280946,-5.068734,-5.645295,-5.803235
NDA-SE.ST,-5.3374214,-6.1001706,-5.5271053,-6.163244,-5.50303,-6.0789785,-6.2346554
NENT-B.ST,-33.735577,-34.28172,-33.885937,-34.327507,-33.867416,-34.26868,-34.377808
NET-B.ST,162.71994,160.60233,162.16902,160.42358,162.24396,160.65198,160.21533
NIBE-B.ST,-31.405285,-31.958237,-31.539557,-32.003395,-31.523241,-31.94148,-32.053585
NMAN.ST,-31.79407,-32.34389,-31.924294,-32.388298,-31.909256,-32.326015,-32.436813
NNH.ST,-22.418316,-23.043753,-22.551859,-23.091888,-22.539646,-23.017574,-23.140665
NOBI.ST,11.659614,10.759861,11.427453,10.6841,11.458619,10.7814865,10.596187
NOLA-B.ST,1.1549321,0.33985332,0.9479634,0.27175334,0.9750573,0.36074707,0.1935566
NP3-PREF.ST,-35.505886,-36.03777,-35.607082,-36.075012,-35.604343,-36.00695,-36.104015
ORX.ST,101.75008,100.12071,101.31341,99.98139,101.37429,100.15453,99.817314
PEGRO-PREF.ST,21.00484,20.029371,20.800154,19.954882,20.817986,20.071615,19.880342
PIEZO.ST,17.093094,16.149487,16.858059,16.0714,16.887892,16.17555,15.982939
POOL-B.ST,17111.137,16917.2,17035.744,16935.965,17071.871,16989.137,16976.094
PREC.ST,6284.864,6210.766,6255.464,6218.911,6270.025,6240.1313,6235.9136
PROB.ST,80.68977,79.23371,80.322205,79.11241,80.36985,79.27191,78.97373
RAIL.ST,-12.935592,-13.637292,-13.109023,-13.695132,-13.08733,-13.61737,-13.76029
RROS.ST,102.74022,101.10333,102.30843,100.96446,102.3675,101.14,100.802376
SAGA-A.ST,-17.807259,-18.472975,-17.98361,-18.52928,-17.95997,-18.457756,-18.594297
SAGA-D.ST,-33.598667,-34.134136,-33.698288,-34.172966,-33.69286,-34.105843,-34.2082
SAND.ST,-19.994951,-20.639717,-20.148657,-20.691973,-20.130615,-20.619179,-20.749378
SDIP-B.ST,-24.744728,-25.35158,-24.896866,-25.401901,-24.877478,-25.335106,-25.45899
SEMC.ST,95.72913,94.14915,95.300735,94.01338,95.36194,94.18019,93.85192
SEYE.ST,-10.620004,-11.341067,-10.770057,-11.395872,-10.757464,-11.309191,-11.450099
SJR-B.ST,48.49444,47.297905,48.1888,47.197647,48.22927,47.32793,47.08212
SKIS-B.ST,-14.44306,-15.132823,-14.596995,-15.186984,-14.581307,-15.106608,-15.243678
SPEQT.ST,84.455605,82.964714,84.08112,82.84143,84.12806,83.00598,82.70296
SRNKE-B.ST,12.236419,11.332038,12.004355,11.256077,12.035245,11.354253,11.168264
SSM.ST,147.04268,145.04489,146.5016,144.87708,146.58154,145.09174,144.67918
STIL.ST,-13.334997,-14.033682,-13.5063715,-14.091033,-13.485279,-14.013274,-14.155214
SUS.ST,-10.450229,-11.176223,-10.640379,-11.237192,-10.615549,-11.158582,-11.306747
SVED-B.ST,610.20184,604.429,608.61945,603.96606,608.873,604.60626,603.4284
SWEC-B.ST,-23.560564,-24.176764,-23.708754,-24.22689,-23.69114,-24.157612,-24.282228
SWED-A.ST,7.0532885,6.1906443,6.844356,6.1202216,6.8696733,6.2168403,6.041935
SYSR.ST,-21.44578,-22.078878,-21.60273,-22.131151,-21.583012,-22.061121,-22.19016
TAGM-B.ST,182.52332,180.24171,181.92578,180.0516,182.0095,180.29982,179.83109
TIGO-SDB.ST,-2.575446,-3.3604982,-2.768367,-3.425033,-2.7443933,-3.3377638,-3.4975102
