,0,1,2,3,4,5,6
8TRA.ST,0.096813045,0.3482095,0.2908662,0.37074655,0.3757047,0.3300897,0.25113785
ABB.ST,-0.34137568,-0.099067114,-0.13365862,-0.12660882,-0.09556048,-0.21095072,-0.31780815
ACAD.ST,-1.5436386,-1.2843988,-1.332585,-1.2991829,-1.2848667,-1.3749828,-1.4726837
ACTI.ST,6.5925326,-0.8403657,1.153556,4.423868,6.695975,10.843395,13.366411
ADAPT.ST,1.6647338,1.9191028,1.8765979,1.9013906,1.924621,1.8234221,1.7205366
AF-B.ST,1.0719961,1.377984,1.306162,1.361891,1.3529075,1.275434,1.1760799
AJA-B.ST,-2.0767486,-1.8144717,-1.8626552,-1.8390754,-1.8239952,-1.9244579,-2.0271404
ALM-PREF.ST,-1.3834196,-1.1165953,-1.1582454,-1.1693919,-1.1447521,-1.2814939,-1.4006742
AMAST.ST,245.88065,170.78612,190.04013,223.81485,245.57538,288.84668,314.96088
ARJO-B.ST,-1.3683158,-1.1240588,-1.1534268,-1.1678585,-1.1319916,-1.2670947,-1.3817518
ATCO-A.ST,0.23641141,0.52384216,0.46199566,0.50191516,0.5041992,0.4136988,0.31104127
AZA.ST,0.18328537,0.35113874,0.33864722,0.3785247,0.43159926,0.3587862,0.27923155
B3.ST,2.1680002,2.1643949,2.1799297,2.3848927,2.4614105,2.5740826,2.5940816
BACTI-B.ST,-1.1497995,-0.9536501,-0.9518764,-1.0064034,-0.9371107,-1.1043177,-1.2259513
BERG-B.ST,0.6588362,0.5767873,0.6454701,0.7630631,0.89791095,0.9366302,0.93581235
BETS-B.ST,2.0156796,1.8227844,1.90857,2.11947,2.2720866,2.4142966,2.46922
BIM.ST,2.8770363,2.4256868,2.6325336,2.7971702,3.0744362,3.210852,3.2982252
BONAS.ST,-2.9181957,-2.6386857,-2.6865602,-2.6942372,-2.6779056,-2.8110683,-2.929598
BONAV-B.ST,-1.0157151,-1.0270748,-0.96820736,-0.92061603,-0.79547924,-0.83311796,-0.8739628
BRIN-B.ST,6.5855765,5.526509,5.761854,6.6458516,6.9509654,7.8697543,8.348109
BTS-B.ST,-2.090169,-1.9937499,-1.9443783,-2.0250742,-1.9064835,-2.0837884,-2.1962192
CAT-B.ST,-4.104945,-4.1209054,-4.013507,-4.1418624,-3.9632921,-4.1688514,-4.277614
CCC.ST,1.0234106,1.4276804,1.2522876,1.5369502,1.413794,1.5451697,1.5193319
CCOR-B.ST,10.271758,6.2409706,7.4106646,9.17581,10.488807,12.679026,14.036374
