,0,1,2,3,4,5
OPUS.ST,-0.3685062,-0.13002771,0.15373781,0.25744265,1.2137246,2.94698
ORGC.ST,-1.629454,-1.3903767,-1.0950881,-1.0516543,-0.06691896,1.715264
OV.ST,4.0745454,1.9484075,0.51874727,6.117621,-3.5442662,-8.284455
OVZON.ST,-3.3124287,-3.226996,-2.9462736,-3.40664,-2.9340844,-2.246502
PCELL.ST,-3.0939403,-2.8629715,-2.60867,-2.464317,-1.6315176,-0.00047807625
PFE.ST,-0.7784013,-0.64149034,-0.3247143,-0.7240894,0.015223949,1.1102966
PLAZ-B.ST,-1.0658815,-1.0401611,-0.738119,-1.3857583,-0.99265975,-0.56814855
PREV-B.ST,1.8848087,1.4682862,1.2224678,2.9525788,0.6969705,0.51027274
PROF-B.ST,1.3037264,1.4717029,1.7216463,1.9447011,2.612516,4.2690215
RAKE.ST,-1.2204367,-1.4814137,-1.6256405,-0.25507835,-1.8568943,-1.6708539
RECI-B.ST,-0.16555573,-0.026231494,0.28679454,-0.08640809,0.6504998,1.7358569
SAGA-B.ST,-2.5164974,-2.4837549,-2.1881716,-2.8011882,-2.398662,-1.9501004
SAGA-PREF.ST,0.49544725,0.4725006,0.790826,-0.05400634,0.22821108,0.4362739
SAPIAB.ST,-0.9140205,-0.66786003,-0.36552265,-0.33584157,0.68223524,2.5041373
SCA-A.ST,-0.39638886,-0.37542516,-0.05960943,-0.7762771,-0.3712489,0.07692945
SDIP-PREF.ST,-0.42641234,-0.48875946,-0.17533848,-1.1129727,-0.95070916,-0.96713555
SHB-A.ST,-0.41059256,-0.1953348,0.0833385,0.20111026,1.0753868,2.827185
SHOT.ST,-0.09526185,0.15753756,0.46856606,0.46165863,1.5154352,3.3363988
SKF-A.ST,0.53468555,0.7840158,1.089682,1.1184502,2.1479478,3.9755213
SOLNA.ST,-1.5049195,-1.5747777,-1.2673856,-2.20511,-2.0737262,-2.142923
STAR-A.ST,2.104355,-0.5350946,-2.3465223,4.533464,-7.4456663,-13.457797
STORY-B.ST,-3.6747727,-3.5337749,-3.236638,-3.5576684,-2.8371928,-1.7743131
SVOL-A.ST,0.09149773,0.22236842,0.42191857,0.80862296,1.2656528,2.7014058
SWMA.ST,-1.7781546,-1.8439527,-1.5426018,-2.444388,-2.3129199,-2.382252
TEQ.ST,-2.5452514,-2.3246074,-2.0833836,-1.9056013,-1.1600038,0.4228945
TOAD.ST,-8.028108,-8.085237,-7.820023,-8.627827,-8.570653,-8.684102
VBG-B.ST,-1.2206414,-1.0267403,-0.7171468,-0.926565,-0.037503883,1.3530904
VEMF-SDB.ST,-0.98330224,-0.9427656,-0.63275677,-1.2717564,-0.82122666,-0.27924067
VIT-B.ST,-2.3047032,-2.258204,-1.9607953,-2.5384076,-2.0919435,-1.5592864
