,0,1,2,3,4,5,6
KAR.ST,-0.92075795,-0.6210686,-0.683925,-0.66092116,-0.6600042,-0.7676412,-0.8786294
KNOW.ST,0.5910123,0.9064091,0.7998589,0.9633636,0.9155354,0.94155633,0.8834934
LOG.ST,-2.2645857,-2.0671802,-2.074931,-2.1063623,-2.0469801,-2.192325,-2.3055396
LUMI.ST,-0.86650157,-0.60120803,-0.6595302,-0.5998148,-0.5956838,-0.6622435,-0.75155187
LYKO-A.ST,-4.029103,-3.7347574,-3.795923,-3.7751648,-3.7752151,-3.8808398,-3.9890735
MCAP.ST,-8.153568,-8.0025835,-7.9878106,-8.038463,-7.960741,-8.111354,-8.218162
MIDS.ST,-1.7387019,-1.9496964,-1.8086386,-1.7591975,-1.5508935,-1.5560936,-1.5565132
NEXAM.ST,1.0912625,0.6338341,0.7239202,1.3093381,1.4534553,2.0002306,2.2575765
OPUS.ST,0.5004456,0.96666193,0.7681163,1.0445056,0.89709395,1.0120674,0.9715951
ORGC.ST,-2.3332868,-2.0282207,-2.1246812,-1.9839395,-2.023923,-2.0149643,-2.0771813
OV.ST,11.512829,9.597659,10.127506,11.170806,11.793508,12.983321,13.676074
OVZON.ST,-4.4645805,-4.355168,-4.3151703,-4.390135,-4.2823796,-4.454563,-4.5662823
PCELL.ST,-7.5390487,-7.7885337,-7.5523643,-7.80621,-7.4934964,-7.7837605,-7.895747
PFE.ST,1.563676,1.8741523,1.7989637,1.8583499,1.8466824,1.7710681,1.6714271
PLAZ-B.ST,-2.506501,-2.2274034,-2.2853305,-2.2513099,-2.2471437,-2.3392618,-2.440447
PREV-B.ST,-5.121233,-5.8642693,-5.553733,-5.3672695,-4.986396,-4.781149,-4.6265163
PROF-B.ST,3.258172,3.3990319,3.391994,3.4657853,3.524251,3.4869442,3.4254608
RAKE.ST,3.9145691,3.4274254,3.647482,3.823832,4.1154447,4.2670045,4.365025
RECI-B.ST,-0.8047848,-0.5445665,-0.59326005,-0.5598958,-0.5451517,-0.6364968,-0.73528224
SAGA-B.ST,-2.8495126,-2.6930673,-2.6760814,-2.7301493,-2.6464372,-2.8058076,-2.9184344
SAGA-PREF.ST,-1.143699,-0.9079801,-0.9340012,-0.9536134,-0.91272694,-1.0531172,-1.1696271
SAPIAB.ST,-1.5734314,-1.7621943,-1.5562453,-1.7835371,-1.4973621,-1.7773019,-1.895416
SCA-A.ST,-1.2332604,-0.97708374,-1.0161424,-1.0177959,-0.9912728,-1.116797,-1.2296576
SDIP-PREF.ST,-1.0019304,-0.7238431,-0.77274984,-0.7721805,-0.7554198,-0.8824878,-0.999058
SHB-A.ST,-0.24131289,-0.21326485,-0.15208699,-0.17799261,-0.0458563,-0.16317166,-0.24336216
SHOT.ST,-1.9595951,-1.8882614,-1.83214,-1.8999953,-1.7746941,-1.9360183,-2.0385978
SKF-A.ST,0.019305944,0.21235578,0.19408214,0.21745197,0.2648146,0.17244278,0.08161107
SOLNA.ST,0.33141,0.587213,0.55475724,0.53024006,0.56602037,0.41623732,0.29259583
STAR-A.ST,13.477354,11.207067,11.820285,13.04249,13.758296,15.1729355,15.997573
STORY-B.ST,-1.5788313,-1.5648445,-1.4716904,-1.5849308,-1.4202547,-1.6172494,-1.7268802
SVOL-A.ST,-4.003153,-4.288962,-4.072959,-4.182323,-3.8944988,-4.0400534,-4.0873356
SWMA.ST,-3.9770489,-3.7015097,-3.7514663,-3.7452154,-3.732789,-3.8502371,-3.961133
TEQ.ST,-2.5926597,-2.4348807,-2.4526706,-2.3806517,-2.337005,-2.3736482,-2.4355555
TOAD.ST,-18.515718,-18.301666,-18.338787,-18.32249,-18.30706,-18.392967,-18.478668
VBG-B.ST,-2.35115,-2.2083833,-2.1914327,-2.2242181,-2.1408103,-2.2779741,-2.3798046
VEMF-SDB.ST,-6.2461576,-6.0196996,-6.0475955,-6.054305,-6.0201335,-6.14119,-6.246552
VIT-B.ST,-5.4347444,-5.275857,-5.260959,-5.3172336,-5.2373686,-5.3969646,-5.509273
VNV-SDB.ST,-0.7097925,-0.47265795,-0.5011781,-0.5062452,-0.4694167,-0.5948911,-0.7047678
VOLV-A.ST,-1.0901392,-0.8553977,-0.8819791,-0.8942829,-0.8549163,-0.9873486,-1.1000427
WIHL.ST,-2.3762531,-2.1716435,-2.1802177,-2.2133014,-2.1560946,-2.302711,-2.4166234
XANO-B.ST,-2.147328,-1.9605962,-1.986922,-1.925305,-1.8899379,-1.9412506,-2.013096
