,0,1,2,3,4,5,6
8TRA.ST,1.6629148,1.9580871,1.8800213,1.973309,1.9575893,1.9172246,1.8342159
ABB.ST,-0.028817173,0.23919596,0.19263978,0.20497914,0.22384532,0.109457746,-0.0005039037
ACAD.ST,-0.61322093,-0.35802338,-0.4003755,-0.380775,-0.35919675,-0.4631251,-0.56637454
ACTI.ST,6.135233,-1.0631411,0.8542839,4.071553,6.2597427,10.322529,12.783249
ADAPT.ST,1.8531966,2.0639093,2.0519588,2.029286,2.0861385,1.9445025,1.8303313
AF-B.ST,0.5393758,0.83005965,0.7709063,0.800089,0.80507225,0.70400125,0.5967899
AJA-B.ST,-1.022428,-0.74734807,-0.8012384,-0.7732693,-0.7635596,-0.86246836,-0.9664755
ALM-PREF.ST,-2.926299,-2.6858103,-2.7134094,-2.739996,-2.701419,-2.848003,-2.9673767
AMAST.ST,247.94595,175.89273,194.22983,227.12788,247.87627,289.863,315.10263
ARJO-B.ST,-1.9940726,-1.7683202,-1.7856764,-1.818385,-1.7698148,-1.919655,-2.037901
ATCO-A.ST,0.8514795,1.1537086,1.086993,1.123166,1.121143,1.0241677,0.9166036
AZA.ST,0.58416724,0.72272754,0.72880167,0.7455174,0.8188358,0.7273046,0.64370686
B3.ST,2.3353822,2.3649533,2.3655736,2.575234,2.6364272,2.7486088,2.7639732
BACTI-B.ST,-4.2493215,-4.0317454,-4.0448403,-4.085489,-4.033943,-4.188162,-4.3064227
BERG-B.ST,1.0846323,1.0253496,1.085763,1.2002583,1.3269874,1.3589641,1.3522272
BETS-B.ST,5.2474723,5.055507,5.1494226,5.3373957,5.5012727,5.6182127,5.6616936
BIM.ST,-1.5849779,-1.9932771,-1.8037715,-1.6515056,-1.3946286,-1.2727754,-1.1959339
BONAS.ST,-0.93527013,-0.63758695,-0.69400406,-0.6927509,-0.68420374,-0.81301284,-0.9326482
BONAV-B.ST,0.3578906,0.36371732,0.41683486,0.46270218,0.58294415,0.5398668,0.49410072
BRIN-B.ST,5.194538,4.1144032,4.3744993,5.199588,5.5297837,6.395425,6.855695
BTS-B.ST,2.1836941,2.3340225,2.3614442,2.2898893,2.3885067,2.2084017,2.086522
CAT-B.ST,-1.3499131,-1.3866587,-1.2627673,-1.4141846,-1.2158184,-1.4433776,-1.559383
CCC.ST,2.334362,2.7660167,2.5767605,2.8731217,2.7365184,2.8739872,2.846505
CCOR-B.ST,16.616798,12.773037,13.873048,15.633256,16.87838,19.031147,20.34706
CIBUS.ST,-0.8683786,-0.6015795,-0.6431414,-0.6503494,-0.62602234,-0.7587719,-0.87607574
COIC.ST,0.5381112,0.80200064,0.74544096,0.8066818,0.813024,0.747404,0.6585712
CORE-B.ST,1.0178422,1.1263647,1.1769329,1.0796722,1.2024548,1.0041745,0.8804339
CTT.ST,-0.79689705,-0.66152775,-0.63427883,-0.68707997,-0.5918597,-0.74828744,-0.8572213
DIGN.ST,1.4981818,1.4763793,1.521616,1.6430291,1.7526947,1.7869201,1.7768878
ELOS-B.ST,0.71697104,0.95151067,0.92502826,0.91934365,0.9593834,0.83229995,0.72161615
ENDO.ST,12.348335,1.734633,4.5544486,9.187003,12.394082,18.31471,21.919378
EOS.ST,3.327732,2.5800776,2.8495836,3.2266924,3.5624428,3.9483395,4.1774263
EPI-A.ST,1.305072,1.6825297,1.5724537,1.6552062,1.6072291,1.544286,1.4408247
EPI-B.ST,2.0561738,2.4175189,2.318699,2.386535,2.3511515,2.2753615,2.1685112
EQT.ST,-4.6291604,-4.3792706,-4.412022,-4.430578,-4.400255,-4.537373,-4.6527433
ERIC-A.ST,22.332523,19.008013,19.980125,21.426495,22.546383,24.316826,25.407257
FIRE.ST,0.28510338,0.5694203,0.5138115,0.5388192,0.54747134,0.44344744,0.33592585
FLEXM.ST,-2.0691323,-2.4489365,-2.1709566,-2.3678887,-2.0104783,-2.230867,-2.2981548
FLEXQ.ST,5.813018,6.0085382,5.9090652,6.2384543,6.195648,6.3964586,6.425277
G5EN.ST,-0.36221913,-1.1709096,-0.93896425,-0.3468512,-0.05830539,0.54856414,0.8776902
GENO.ST,0.0970997,0.10357727,0.16554996,0.17779846,0.30793875,0.2322925,0.17311105
GIGSEK.ST,17.628038,15.120633,15.862192,17.047255,17.886614,19.293581,20.153494
GREAT.ST,-4.6960044,-4.5087504,-4.504782,-4.5624566,-4.493226,-4.659066,-4.777948
GREEN.ST,0.2552332,0.48009342,0.45208463,0.46398562,0.5018155,0.3934397,0.2917416
HANZA.ST,0.9148805,1.092486,1.0824091,1.1064248,1.1617619,1.0725684,0.9854375
HEIM-PREF.ST,-1.3225399,-1.0188644,-1.0842619,-1.0628988,-1.0640079,-1.1742797,-1.2871995
HIQ.ST,-0.2823807,-0.39383593,-0.3329037,-0.15441594,-0.02822485,0.073269084,0.10148673
HUFV-A.ST,-2.1719368,-1.9159266,-1.9542874,-1.9572729,-1.931263,-2.0565832,-2.168707
IAR-B.ST,4.5045485,4.701977,4.657783,4.7860575,4.8049626,4.811546,4.7606397
IMMU.ST,1.7991349,1.2383407,1.4268383,1.8152057,2.066263,2.4367416,2.635305
INISS-B.ST,3.0561175,2.9432063,3.1065772,2.936546,3.179117,2.9407454,2.829123
INZILE.ST,2.6667333,2.9421344,2.8868423,2.9298685,2.9397132,2.8526254,2.752714
IPCO.ST,1.418395,1.4578775,1.4919729,1.5653316,1.6645179,1.6436393,1.6030484
IRLAB-A.ST,0.9968293,0.76104295,0.8400507,1.1409339,1.2820742,1.5198678,1.620769
ITAB-B.ST,0.25641045,-1.025601,-0.6334707,0.06699047,0.52167124,1.3007822,1.7608727
ITECH.ST,3.1430998,3.183026,3.2749112,3.1377137,3.3053255,3.0768301,2.949309
IVSO.ST,-2.3552942,-2.1681838,-2.1672297,-2.207947,-2.1408038,-2.2921267,-2.4056015
JOMA.ST,-1.5843773,-1.3500259,-1.3756677,-1.3934928,-1.3529922,-1.4906154,-1.6054159
JOSE.ST,-1.8928108,-2.0135083,-1.9361516,-1.8042356,-1.6619054,-1.6023358,-1.5891819
KAR.ST,-6.3346148,-6.062661,-6.1129017,-6.1082535,-6.0972314,-6.214134,-6.323911
KNOW.ST,0.14964181,0.33366713,0.3062382,0.377371,0.41372913,0.36927363,0.29949373
